,,,,,,,,,,,,,,,,,
Dantex,,,,,,,,,,,,,,,,,
,Серия ADVANCE PRO PLUS 2 INVERTER,,инвертор,wi-fi,труба жидкостная,труба газовая,кабель межблочный,кабель питания,автомат эл,настенный кронштейн,Кронштейн с планкой Tecnosystemi ,гарантия,подключение питания,"max длинна трубопровода, м","max перепад высот, м",Короб и фасонные части к нему,"РРЦ, руб"
,,MSAG1-09HRN1-I/O-40,нет,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,к внутреннему блоку,20,8,OPT 62,1953
,,MSAG1-12HRN1-I/O-40,нет,опция,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,к внутреннему блоку,20,8,OPT 62,2415
,,MSAG1-18HRN1-I/O-40,нет,опция,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х1,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),4 года ,к внутреннему блоку,25,10,OPT 75,3409
,,MSAG1-24HRN1-I/O-40,нет,опция,"1/4"" (6,35мм)","5/8""(15,9мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),4 года ,к внутреннему блоку,25,10,OPT 102,4403
,,,,,,,,,,,,,,,,,
,Сплит- система Paramount Inverter для серверных до -40,,,,,,,,,,,,,,,,
,,MSAG1-09N8C2S-I/O-40,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х1,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,Наружный блок,25,10,OPT 62,2706
,,MSAG1-12N8C2U-I/O-40,да,опция,"1/4"" (6,35мм)","3/8"" (9,53мм)","5х1,5мм","3х2,5мм",10а,кронштейн 450х390х2,GALILEO SGL 100 EVO (400х750х430),4 года ,Наружный блок,25,10,OPT 62,2958
,,MSAG1-18N8D0-I/O-40,да,опция,"1/4"" (6,35мм)","1/2""(12,7мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 140 EVO (400х750х475),4 года ,Наружный блок,30,20,OPT 75,4151
,,MSAG1-24N8D0-I/O-40,да,опция,"3/8"" (9,53мм)","5/8""(15,9мм)","5х1,5мм","3х2,5мм",16а,Кронштейн КС 450х500,GALILEO SGL 100 XLL EVO (400х750х625),4 года ,Наружный блок,50,25,OPT 102,5303
,,,,,,,,,,,,,,,,,
SAMSUNG,,,,,,,,,,,,,,,,,
